编号,对应资源编号,位置,缩放,角度
number,string,string,string,string
ID,name,position,scale,eulY
1,1004,"4,0,-28","1,1,1",0
2,1002,"0,0,1","1,1,1",0
3,1007,"2.5,0,-10.5","1,1,1",90
4,1007,"-5,0,-18","1,1,1",0
5,1005,"1.5,0,-20.5","1,1,1",-90
6,1005,"0,0,-13","1,1,1",0
7,1006,"9,0,-28","1,1,1",0
8,1002,"1.5,0,-20.5","1,1,1",90
9,1007,"6.5,0,-30.5","1,1,1",90
10,1007,"0,0,-3","1,1,1",0
11,1006,"2.5,0,-5.5","1,1,1",-90
12,1008,"4,0,-23","1,1,1",0
13,1006,"6.5,0,-25.5","1,1,1",-90
14,1006,"5,0,-8","1,1,1",0
15,1007,"-2.5,0,-15.5","1,1,1",90
16,1010,"4,0,-33","1,1,1",0
32,1004,"1.5,0,-8","1,1,1",0
33,1004,"-2,0,-18","1,1,1",0
34,2003,"-0.25,0,-4.22","1,1,1",0
35,2002,"-0.25,0,-2","1,1,1",0
36,2003,"0.25,0,-4.22","1,1,1",0
37,2002,"0.25,0,-2","1,1,1",0
38,2002,"1.3,0,-5.24","1,1,1",90
39,2002,"1.3,0,-5.74","1,1,1",90
40,2002,"2.74,0,-5.77","1,1,1",90
41,2002,"2.74,0,-5.27","1,1,1",90
42,2002,"2.44,0,-10.23","1,1,1",90
43,2002,"2.44,0,-10.73","1,1,1",90
44,2001,"-0.25,0,-12.88","1,1,1",0
45,2001,"0.25,0,-12.88","1,1,1",0
46,2003,"-2.25,0,-18","1,1,1",0
47,2003,"-1.75,0,-18","1,1,1",0
48,2002,"1.75,0,-8","1,1,1",0
49,2002,"1.25,0,-8","1,1,1",0
50,2002,"-1.51,0,-15.75","1,1,1",90
51,2002,"-1.51,0,-15.13","1,1,1",90
52,2002,"4.2,0,-6.55","1,1,1",-45
53,2002,"3.96,0,-9.71","1,1,1",45
54,2001,"1.45,0,-20.75","1,1,1",90
55,2001,"1.45,0,-20.25","1,1,1",90
56,2002,"-3.02,0,-15.5","1,1,1",90
57,2002,"-4.62,0,-15.82","1,1,1",45
58,2002,"-4.76,0,-18.56","1,1,1",0
59,2002,"-5.26,0,-18.56","1,1,1",0
60,2002,"-4.77,0,-20","1,1,1",-45
61,2002,"-0.49,0,-20.49","1,1,1",90
62,2002,"3.94,0,-20.79","1,1,1",-30
63,2002,"3.58,0,-21.04","1,1,1",-30
64,2002,"4.02,0,-22.64","1,1,1",0
65,2002,"4.17,0,-24.32","1,1,1",-30
66,2002,"4.52,0,-24.07","1,1,1",-30
67,2002,"5.14,0,-25.13","1,1,1",-60
68,2002,"6.52,0,-25.75","1,1,1",90
69,2002,"6.52,0,-25.25","1,1,1",90
70,2002,"8.47,0,-26.14","1,1,1",-45
71,2002,"8.1,0,-26.34","1,1,1",-45
72,2002,"8.97,0,-28","1,1,1",0
73,2002,"8.19,0,-29.57","1,1,1",45
74,2002,"8.49,0,-29.85","1,1,1",45
75,2002,"6.52,0,-30.49","1,1,1",90
76,2002,"5.27,0,-30.5","1,1,1",90
77,2003,"3.77,0,-31.5","1,1,1",0
78,2003,"4.27,0,-31.5","1,1,1",0
79,2003,"4.27,0,-32.5","1,1,1",0
80,2003,"3.77,0,-32.5","1,1,1",0
81,2002,"4.31,0,-10.06","1,1,1",45
82,2002,"4.57,0,-6.17","1,1,1",-45
83,2003,"4.73,0,-8.09","1,1,1",0
84,2003,"5.23,0,-8.09","1,1,1",0
85,2002,"0.43,0,-10.74","1,1,1",45
86,2002,"-0.18,0,-14.96","1,1,1",30
87,2002,"-4.77,0,-17.14","1,1,1",0
88,2002,"-5.27,0,-17.14","1,1,1",0
89,2001,"-2.69,0,-20.25","1,1,1",90
90,2001,"-2.69,0,-20.75","1,1,1",90
91,2003,"3.77,0,-28.04","1,1,1",0
92,2003,"4.27,0,-28.04","1,1,1",0
93,2003,"0.04,0,-3.11","1,1,1",0
94,1002,"0,0,5","1,1,1",0
